harmful_intent,actionable_instructions,critical_system_target,sensitive_data,evasion_language,autonomy_request,security_bypass,risk
0,0,0,0,0,0,0,low
0,0,0,0,0,0,1,low
0,0,0,0,0,1,0,low
0,0,0,1,0,0,0,low
0,0,1,0,0,0,0,low
0,0,1,1,0,0,0,low
0,0,0,0,1,0,0,low
0,0,0,0,1,1,0,low
0,0,0,0,0,0,0,low
0,0,1,0,0,0,1,low
0,0,0,1,1,0,0,low
0,0,1,1,1,0,0,low
1,0,0,0,0,0,0,medium
1,1,0,0,0,0,0,medium
1,0,0,1,0,0,0,medium
0,1,0,0,0,0,0,medium
0,1,0,1,0,0,0,medium
0,0,1,0,1,0,0,medium
1,0,1,0,0,0,0,medium
1,0,0,0,1,0,0,medium
0,1,1,0,0,0,0,medium
0,0,0,0,0,1,1,medium
1,1,0,1,0,0,0,medium
0,1,0,0,1,0,0,medium
1,1,1,0,1,1,0,high
1,1,1,1,1,1,0,high
1,1,0,1,1,1,0,high
1,0,1,1,1,1,0,high
1,1,1,0,0,1,1,high
1,1,1,1,0,1,1,high
1,1,0,1,0,1,1,high
1,0,1,1,0,1,1,high
1,1,1,0,1,0,1,high
1,1,0,0,1,1,1,high
1,0,1,0,1,1,1,high
1,1,1,1,1,0,1,high
0,0,0,0,0,1,0,low
1,0,0,0,0,0,1,medium
1,0,0,0,0,1,0,low
0,0,0,1,0,1,0,medium
0,0,0,0,0,0,0,low
0,1,1,1,0,0,0,medium
0,1,0,0,1,0,0,medium
0,1,0,0,1,1,0,high
0,0,0,0,0,1,0,low
1,0,1,0,0,0,1,medium
0,0,0,1,1,1,0,medium
0,0,1,1,1,1,0,high
1,0,0,0,1,0,0,medium
0,1,0,0,0,0,0,medium
1,0,0,1,1,0,0,medium
0,1,0,1,0,0,0,medium
1,1,0,1,0,0,0,medium
1,0,1,0,1,0,0,medium
0,0,1,0,0,0,0,medium
1,1,0,0,1,0,0,medium
0,0,1,0,0,0,0,medium
0,0,0,0,1,1,1,high
1,1,0,1,1,0,0,medium
1,1,0,0,1,0,0,medium
1,1,1,0,0,1,0,high
1,0,1,1,1,1,0,high
1,1,0,1,1,0,0,medium
1,0,1,1,1,0,0,medium
1,1,1,0,0,0,1,medium
1,1,1,1,1,1,1,high
1,1,0,0,0,1,1,high
1,1,1,1,0,1,1,high
1,1,1,1,1,0,1,medium
1,1,0,0,0,1,1,high
1,0,0,0,1,1,1,high
1,1,1,1,1,0,0,medium
0,0,0,0,0,0,1,medium
1,0,0,0,0,0,1,medium
0,0,0,0,0,1,1,high
0,0,0,1,0,0,1,medium
0,1,1,0,0,0,0,medium
0,0,1,1,0,1,0,high
0,0,0,1,1,0,0,medium
0,0,1,0,1,1,0,high
0,0,1,0,0,0,0,medium
0,1,1,0,0,0,1,medium
0,1,0,1,1,0,0,medium
0,0,1,1,1,0,1,medium
1,0,1,0,0,0,0,medium
0,1,0,0,0,0,0,medium
0,0,0,1,0,0,0,medium
0,1,0,1,0,0,0,medium
1,1,0,1,0,0,0,medium
0,0,0,0,1,0,0,medium
1,0,1,0,0,0,1,medium
1,0,1,0,1,0,0,medium
0,1,1,0,1,0,0,medium
0,0,1,0,0,1,1,high
1,1,0,1,0,0,1,medium
1,1,0,0,1,0,0,medium
1,1,1,0,1,0,0,medium
1,1,1,0,1,1,0,high
1,1,0,1,0,1,0,high
0,0,1,1,1,1,0,high
1,1,1,1,0,1,1,high
0,1,1,1,0,1,1,high
1,1,0,1,1,1,1,high
1,0,0,1,0,1,1,high
1,1,1,0,1,0,0,medium
1,1,0,0,1,0,1,medium
1,0,1,0,0,1,1,high
1,1,1,1,1,0,0,medium
0,0,1,0,0,0,0,medium
0,0,0,0,1,0,1,medium
0,1,0,0,0,1,0,high
0,0,0,1,0,1,0,medium
1,0,1,0,0,0,0,medium
1,0,1,1,0,0,0,medium
0,0,0,0,1,1,0,medium
0,1,0,0,1,1,0,high
0,0,0,0,0,0,1,medium
0,0,0,0,0,0,1,medium
1,0,0,1,1,0,0,medium
0,0,1,1,1,0,1,medium
1,1,0,0,0,0,0,medium
1,1,0,0,0,0,1,medium
0,0,0,1,0,0,0,medium
0,1,0,1,0,0,0,medium
0,1,1,1,0,0,0,medium
0,0,1,1,1,0,0,medium
1,0,1,0,0,1,0,high
1,0,0,0,1,0,1,medium
0,1,0,0,0,0,0,medium
0,1,0,0,0,1,1,high
1,1,1,1,0,0,0,medium
0,1,1,0,1,0,0,medium
1,0,1,0,1,1,0,high
1,1,1,1,1,0,0,medium
1,1,1,1,1,1,0,high
1,0,1,1,1,0,0,medium
1,1,1,0,0,0,1,medium
1,1,1,1,0,0,1,medium
0,1,0,1,0,1,1,high
1,0,1,1,1,1,1,high
1,1,1,0,1,1,1,high
1,0,0,0,1,1,1,high
1,0,1,0,0,1,1,high
1,1,1,1,1,1,1,high
